sample,type,setting
MAE-26_13750gen_JEB832,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB832_{1|2}.fastq.gz
MAE-27_13750gen_JEB833,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB833_{1|2}.fastq.gz
MAE-28_13750gen_JEB834,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB834_{1|2}.fastq.gz
MAE-28_13750gen_JEB834,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB834_{1|2}.fastq.gz
MAE-29_13750gen_JEB835,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB835_{1|2}.fastq.gz
MAE-30_13750gen_JEB836,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB836_{1|2}.fastq.gz
MAE-31_13750gen_JEB837,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB837_{1|2}.fastq.gz
MAE-32_13750gen_JEB838,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB838_{1|2}.fastq.gz
MAE-32_13750gen_JEB838,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-05-19_Psomagen_Illumina/fastq/JEB838_{1|2}.fastq.gz
MAE-33_13750gen_JEB839,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-01-27_Psomagen_Illumina/fastq/JEB839_{1|2}.fastq.gz
