sample,type,setting
Ara-3_500gen_764A,illumina-PE,sra://SRR2584852
Ara-3_500gen_764B,illumina-PE,sra://SRR2584853
Ara-3_1000gen_966A,illumina-PE,sra://SRR2589001
Ara-3_1000gen_966B,illumina-PE,sra://SRR2584856
Ara-3_1500gen_1070A,illumina-PE,sra://SRR2584857
Ara-3_1500gen_1070B,illumina-PE,sra://SRR2584858
Ara-3_2000gen_1166A,illumina-PE,sra://SRR2584859
Ara-3_2000gen_1166B,illumina-PE,sra://SRR2591041
Ara-3_5000gen_2181A,illumina-PE,sra://SRR2589044
Ara-3_5000gen_ZDB409,illumina-SE,sra://SRR098281
Ara-3_10000gen_4538A,illumina-PE,sra://SRR2589045
Ara-3_10000gen_ZDB1,illumina-PE,sra://SRR6178299
Ara-3_10000gen_ZDB425,illumina-PE,sra://SRR6178304
Ara-3_10000gen_ZDB429,illumina-SE,sra://SRR098282
Ara-3_15000gen_7179B,illumina-PE,sra://SRR2584863
Ara-3_15000gen_ZDB445,illumina-PE,sra://SRR6178301
Ara-3_15000gen_ZDB446,illumina-SE,sra://SRR098283
Ara-3_20000gen_ZDB458,illumina-SE,sra://SRR098284
Ara-3_20000gen_ZDB464,illumina-SE,sra://SRR098285
Ara-3_20000gen_ZDB467,illumina-SE,sra://SRR098286
Ara-3_25000gen_ZDB477,illumina-SE,sra://SRR098287
Ara-3_25000gen_ZDB478,illumina-PE,sra://SRR6178302
Ara-3_25000gen_ZDB483,illumina-SE,sra://SRR098288
Ara-3_25000gen_ZDB486,illumina-PE,sra://SRR6178309
Ara-3_25000gen_ZDB488,illumina-PE,sra://SRR6178310
Ara-3_27000gen_ZDB309,illumina-PE,sra://SRR6178307
Ara-3_27000gen_ZDB310,illumina-PE,sra://SRR6178308
Ara-3_27000gen_ZDB317,illumina-PE,sra://SRR6178305
Ara-3_28000gen_ZDB334,illumina-PE,sra://SRR6178306
Ara-3_28000gen_ZDB339,illumina-PE,sra://SRR6178303
Ara-3_29000gen_ZDB13,illumina-PE,sra://SRR6178300
Ara-3_29000gen_ZDB14,illumina-PE,sra://SRR6178297
Ara-3_30000gen_ZDB16,illumina-SE,sra://SRR098031
Ara-3_30000gen_ZDB17,illumina-PE,sra://SRR6178298
Ara-3_30000gen_ZDB18,illumina-PE,sra://SRR6178295
Ara-3_30000gen_ZDB357,illumina-SE,sra://SRR098280
Ara-3_30500gen_ZDB19,illumina-PE,sra://SRR6178296
Ara-3_30500gen_ZDB20,illumina-PE,sra://SRR6178293
Ara-3_31000gen_ZDB23,illumina-PE,sra://SRR6178294
Ara-3_31500gen_ZDB199,illumina-SE,sra://SRR098044
Ara-3_31500gen_ZDB200,illumina-SE,sra://SRR098279
Ara-3_31500gen_ZDB25,illumina-PE,sra://SRR6178291
Ara-3_31500gen_ZDB27,illumina-PE,sra://SRR6178292
Ara-3_31500gen_ZDB564,illumina-SE,sra://SRR098289
Ara-3_32000gen_ZDB172,illumina-SE,sra://SRR098042
Ara-3_32000gen_ZDB172,illumina-PE,sra://SRR098043
Ara-3_32000gen_ZDB30,illumina-SE,sra://SRR098032
Ara-3_32000gen_ZDB30,illumina-PE,sra://SRR098033
Ara-3_32500gen_ZDB143,illumina-SE,sra://SRR098040
Ara-3_32500gen_ZDB158,illumina-SE,sra://SRR098041
Ara-3_33000gen_CZB152,illumina-SE,sra://SRR097977
Ara-3_33000gen_CZB154,illumina-SE,sra://SRR098026
Ara-3_33000gen_CZB199,illumina-SE,sra://SRR098027
Ara-3_34000gen_ZDB83,illumina-SE,sra://SRR098034
Ara-3_34000gen_ZDB87,illumina-SE,sra://SRR098035
Ara-3_36000gen_ZDB96,illumina-SE,sra://SRR098036
Ara-3_36000gen_ZDB99,illumina-SE,sra://SRR098037
Ara-3_38000gen_ZDB107,illumina-SE,sra://SRR098038
Ara-3_38000gen_ZDB111,illumina-SE,sra://SRR098039
Ara-3_40000gen_10979,illumina-SE,sra://SRR098029
Ara-3_40000gen_10988,illumina-SE,sra://SRR098030
Ara-3_50000gen_11364,illumina-SE,sra://SRR2584864
Ara-3_50000gen_11365,illumina-PE,sra://SRR2584866
Ara-3_60000gen_11725,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/REL11725_{1|2}.fastq.gz
Ara-3_60000gen_11726,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2024-03-18_Psomagen_Illumina/fastq/REL11726_{1|2}.fastq.gz
Ara-3_70000gen_12091,illumina-PE,rclone@natsci_barricklab://natsci_barricklab/TACC/genomes/0009/2021-08-31_Psomagen_Genomes/REL12091_R{1|2}.fastq.gz
