sample,type,setting
MAE-23_13750gen_JEB829,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode26.fastq.gz
MAE-23_13750gen_JEB829,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode27.fastq.gz
MAE-24_13750gen_JEB830,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode28.fastq.gz
MAE-24_13750gen_JEB830,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode28.fastq.gz
MAE-24_13750gen_JEB830,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode29.fastq.gz
MAE-25_13750gen_JEB831,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode29.fastq.gz
MAE-25_13750gen_JEB831,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode30.fastq.gz
MAE-25_13750gen_JEB831,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode31.fastq.gz
MAE-26_13750gen_JEB832,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-14_MinION_FBC25586/fastq/FBC25586_barcode30.fastq.gz
MAE-26_13750gen_JEB832,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode32.fastq.gz
MAE-26_13750gen_JEB832,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-11_MinION_FBC33331/fastq/FBC33331_barcode56.fastq.gz
MAE-27_13750gen_JEB833,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-03-20_MinION_FBC24218/fastq/FBC24218_barcode73.fastq.gz
MAE-27_13750gen_JEB833,nanopore,rclone@natsci_barricklab://natsci_barricklab/Databases/Sequencing_Runs/2025-04-02_MinION_FBC32554/fastq/FBC32554_barcode33.fastq.gz
